cell_label,task,physics,renderer,resolution_w,resolution_h,num_envs,cell_type,run_dir,cache_state,cell_run_index,failure_type,fps,wall_sec
anymal_rough_physx_n1024,Isaac-Velocity-Rough-Anymal-C-v0,physx,,,,1024,non_camera,/home/horde/dev/IsaacLab-fork/tools/perf_smoke/exploration_matrix/output/anymal_rough_physx_n1024/cold_round0,cold,0,OK,10015.328083119037,58.02
anymal_rough_physx_n1024,Isaac-Velocity-Rough-Anymal-C-v0,physx,,,,1024,non_camera,/home/horde/dev/IsaacLab-fork/tools/perf_smoke/exploration_matrix/output/anymal_rough_physx_n1024/warm_round1,warm,1,OK,10069.147718242031,44.93
anymal_rough_physx_n2048,Isaac-Velocity-Rough-Anymal-C-v0,physx,,,,2048,non_camera,/home/horde/dev/IsaacLab-fork/tools/perf_smoke/exploration_matrix/output/anymal_rough_physx_n2048/cold_round0,cold,0,OK,16931.914772188837,67.92
anymal_rough_physx_n2048,Isaac-Velocity-Rough-Anymal-C-v0,physx,,,,2048,non_camera,/home/horde/dev/IsaacLab-fork/tools/perf_smoke/exploration_matrix/output/anymal_rough_physx_n2048/warm_round1,warm,1,OK,16915.141157366827,55.24
cartpole_newton_n16384,Isaac-Cartpole-v0,newton_mjwarp,,,,16384,non_camera,/home/horde/dev/IsaacLab-fork/tools/perf_smoke/exploration_matrix/output/cartpole_newton_n16384/cold_round0,cold,0,OK,1485775.5986380512,181.67
cartpole_newton_n16384,Isaac-Cartpole-v0,newton_mjwarp,,,,16384,non_camera,/home/horde/dev/IsaacLab-fork/tools/perf_smoke/exploration_matrix/output/cartpole_newton_n16384/warm_round1,warm,1,OK,1416366.8448066656,51.33
cartpole_newton_n4096,Isaac-Cartpole-v0,newton_mjwarp,,,,4096,non_camera,/home/horde/dev/IsaacLab-fork/tools/perf_smoke/exploration_matrix/output/cartpole_newton_n4096/cold_round0,cold,0,OK,361965.12702257506,150.1
cartpole_newton_n4096,Isaac-Cartpole-v0,newton_mjwarp,,,,4096,non_camera,/home/horde/dev/IsaacLab-fork/tools/perf_smoke/exploration_matrix/output/cartpole_newton_n4096/warm_round1,warm,1,OK,358825.7600227129,31.28
cartpole_newton_n8192,Isaac-Cartpole-v0,newton_mjwarp,,,,8192,non_camera,/home/horde/dev/IsaacLab-fork/tools/perf_smoke/exploration_matrix/output/cartpole_newton_n8192/cold_round0,cold,0,OK,733490.9819471606,159.92
cartpole_newton_n8192,Isaac-Cartpole-v0,newton_mjwarp,,,,8192,non_camera,/home/horde/dev/IsaacLab-fork/tools/perf_smoke/exploration_matrix/output/cartpole_newton_n8192/warm_round1,warm,1,OK,740226.6015462852,37.35
cartpole_physx_n16384,Isaac-Cartpole-v0,physx,,,,16384,non_camera,/home/horde/dev/IsaacLab-fork/tools/perf_smoke/exploration_matrix/output/cartpole_physx_n16384/cold_round0,cold,0,OK,468243.90940907615,50.33
cartpole_physx_n16384,Isaac-Cartpole-v0,physx,,,,16384,non_camera,/home/horde/dev/IsaacLab-fork/tools/perf_smoke/exploration_matrix/output/cartpole_physx_n16384/warm_round1,warm,1,OK,470449.6827910918,41.18
cartpole_physx_n4096,Isaac-Cartpole-v0,physx,,,,4096,non_camera,/home/horde/dev/IsaacLab-fork/tools/perf_smoke/exploration_matrix/output/cartpole_physx_n4096/cold_round0,cold,0,OK,131026.11049977283,34.08
cartpole_physx_n4096,Isaac-Cartpole-v0,physx,,,,4096,non_camera,/home/horde/dev/IsaacLab-fork/tools/perf_smoke/exploration_matrix/output/cartpole_physx_n4096/warm_round1,warm,1,OK,149493.0962316561,22.38
cartpole_physx_n8192,Isaac-Cartpole-v0,physx,,,,8192,non_camera,/home/horde/dev/IsaacLab-fork/tools/perf_smoke/exploration_matrix/output/cartpole_physx_n8192/cold_round0,cold,0,OK,224662.74236745544,40.33
cartpole_physx_n8192,Isaac-Cartpole-v0,physx,,,,8192,non_camera,/home/horde/dev/IsaacLab-fork/tools/perf_smoke/exploration_matrix/output/cartpole_physx_n8192/warm_round1,warm,1,OK,232274.11876403337,28.56
dexsuite_lift_physx_rtx_128x128_n128,Isaac-Dexsuite-Kuka-Allegro-Lift-v0,physx,isaacsim_rtx_renderer,128,128,128,camera_matrix,/home/horde/dev/IsaacLab-fork/tools/perf_smoke/exploration_matrix/output/dexsuite_lift_physx_rtx_128x128_n128/cold_round0,cold,0,OK,973.0738838227348,73.67
dexsuite_lift_physx_rtx_128x128_n128,Isaac-Dexsuite-Kuka-Allegro-Lift-v0,physx,isaacsim_rtx_renderer,128,128,128,camera_matrix,/home/horde/dev/IsaacLab-fork/tools/perf_smoke/exploration_matrix/output/dexsuite_lift_physx_rtx_128x128_n128/warm_round1,warm,1,OK,982.8454724584051,59.01
dexsuite_lift_physx_rtx_128x128_n256,Isaac-Dexsuite-Kuka-Allegro-Lift-v0,physx,isaacsim_rtx_renderer,128,128,256,camera_probe,/home/horde/dev/IsaacLab-fork/tools/perf_smoke/exploration_matrix/output/dexsuite_lift_physx_rtx_128x128_n256/cold_round0,cold,0,OK,1638.459507425639,79.87
dexsuite_lift_physx_rtx_128x128_n256,Isaac-Dexsuite-Kuka-Allegro-Lift-v0,physx,isaacsim_rtx_renderer,128,128,256,camera_probe,/home/horde/dev/IsaacLab-fork/tools/perf_smoke/exploration_matrix/output/dexsuite_lift_physx_rtx_128x128_n256/warm_round1,warm,1,OK,1667.6901945640843,67.07
dexsuite_lift_physx_rtx_128x128_n512,Isaac-Dexsuite-Kuka-Allegro-Lift-v0,physx,isaacsim_rtx_renderer,128,128,512,camera_probe,/home/horde/dev/IsaacLab-fork/tools/perf_smoke/exploration_matrix/output/dexsuite_lift_physx_rtx_128x128_n512/cold_round0,cold,0,OK,2705.6743459602876,308.7
dexsuite_lift_physx_rtx_128x128_n512,Isaac-Dexsuite-Kuka-Allegro-Lift-v0,physx,isaacsim_rtx_renderer,128,128,512,camera_probe,/home/horde/dev/IsaacLab-fork/tools/perf_smoke/exploration_matrix/output/dexsuite_lift_physx_rtx_128x128_n512/warm_round1,warm,1,OK,2230.928077119832,102.3
dexsuite_lift_physx_rtx_256x256_n128,Isaac-Dexsuite-Kuka-Allegro-Lift-v0,physx,isaacsim_rtx_renderer,256,256,128,camera_matrix,/home/horde/dev/IsaacLab-fork/tools/perf_smoke/exploration_matrix/output/dexsuite_lift_physx_rtx_256x256_n128/cold_round0,cold,0,EXIT_NONZERO,,33.3
dexsuite_lift_physx_rtx_64x64_n128,Isaac-Dexsuite-Kuka-Allegro-Lift-v0,physx,isaacsim_rtx_renderer,64,64,128,camera_matrix,/home/horde/dev/IsaacLab-fork/tools/perf_smoke/exploration_matrix/output/dexsuite_lift_physx_rtx_64x64_n128/cold_round0,cold,0,OK,1014.8570490315985,71.82
dexsuite_lift_physx_rtx_64x64_n128,Isaac-Dexsuite-Kuka-Allegro-Lift-v0,physx,isaacsim_rtx_renderer,64,64,128,camera_matrix,/home/horde/dev/IsaacLab-fork/tools/perf_smoke/exploration_matrix/output/dexsuite_lift_physx_rtx_64x64_n128/warm_round1,warm,1,OK,996.3264516371036,57.5
factory_physx_n1024,Isaac-Factory-GearMesh-Direct-v0,physx,,,,1024,non_camera,/home/horde/dev/IsaacLab-fork/tools/perf_smoke/exploration_matrix/output/factory_physx_n1024/cold_round0,cold,0,OK,1115.1653280535209,224.21
